"","STT","Mã môn","Tên môn","Học phần tiên quyết","TC tiên quyết","Số TC"
"TI","Khoa học máy tính","CF302B","Chương trình dịch","","","2"
"TI","Khoa học máy tính","CF321","Xử lý tín hiệu số","MI201 (0)","","3"
"TI","Khoa học máy tính","CG101","Đồ họa căn bản","","","2"
"TI","Khoa học máy tính","CG102","Đồ họa vector","CG101 (0)","","2"
"TI","Khoa học máy tính","CG103","Xử lý ảnh phục vụ in ấn và Web","CG102 (0)","","3"
"TI","Khoa học máy tính","CG104","Quảng cáo và xuất bản truyền thông","CG103 (0)","","3"
"TI","Khoa học máy tính","CG201","Thiết kế Web","","","3"
"TI","Khoa học máy tính","CG202","Web động và tương tác","CG201 (0)","","5"
"TI","Khoa học máy tính","CG203","Adobe Dream Weave CS6","CG202 (0)","","2"
"TI","Khoa học máy tính","CG251","Minh họa với Adobe Illustration","PE201 (0)","","2"
"TI","Khoa học máy tính","CG253","Xử lý ảnh với Adobe Photoshop","PE201 (0)","","3"
"TI","Khoa học máy tính","CG254","Thiết kế QC và XBTT với Adobe Indesign","PE201 (0)","","2"
"TI","Khoa học máy tính","CG257","Thiết kế Web với Adobe Dream Weaver","PE201 (0)","","2"
"TI","Khoa học máy tính","CG275","Thiết kế Web động với Adobe Flash","PE201 (0)","","3"
"TI","Khoa học máy tính","CG277","Thiết kế Web động và HH với Adobe Flash","PE201 (0)","","5"
"TI","Khoa học máy tính","CG283","Biên tập và Streaming Video","PE201 (0)","","3"
"TI","Khoa học máy tính","CG285","Biên tập Audio - Video","PE201 (0)","","4"
"TI","Khoa học máy tính","CG288","Visual Effects - After Effects","PE201 (0)","","2"
"TI","Khoa học máy tính","CG428","CĐTN: Đồ họa QC và xuất bản TT","CG103 (0)","","3"
"TI","Khoa học máy tính","CG429","CĐTN Thiết kế Web","CG203 (0)","","3"
"TI","Khoa học máy tính","CS100","Tin đại cương","","","2"
"TI","Khoa học máy tính","CS100A","Nhập môn khoa học máy tính","","","2"
"TI","Khoa học máy tính","CS110","Kỹ thuật số","MA102 (0), MA101 (1)","","2"
"TI","Khoa học máy tính","CS121","Ngôn ngữ lập trình","","","3"
"TI","Khoa học máy tính","CS121A","Ngôn ngữ lập trình 1A","","","2"
"TI","Khoa học máy tính","CS122","Lập trình hướng đối tượng","CS121 (0), CS121A (1)","","3"
"TI","Khoa học máy tính","CS122A","Lập trình hướng đối tượng","","","2"
"TI","Khoa học máy tính","CS122B","Lập trình hướng đối tượng nâng cao","","","2"
"TI","Khoa học máy tính","CS211","Vi điều khiển và ứng dụng","CS110 (0)","","3"
"TI","Khoa học máy tính","CS212","Kiến trúc máy tính","CS122A (0), CS122B (2), CS122 (1), CS110 (0), CS110 (1), CS110 (2)","","3"
"TI","Khoa học máy tính","CS212A","Kiến trúc máy tính 1","","","2"
"TI","Khoa học máy tính","CS212B","Kiến trúc máy tính 2","CS212A (0)","","2"
"TI","Khoa học máy tính","CS223","Lập trình Java","CS122 (0), CS122A (1), CS122B (2)","","3"
"TI","Khoa học máy tính","CS223B","Lập trình Java nâng cao","","","2"
"TI","Khoa học máy tính","CS224","Lập trình .Net","CS122A (1), CS122B (2), IS222 (0)","","3"
"TI","Khoa học máy tính","CS311","Lập trình ứng dụng di động","CS122 (0)","","2"
"TI","Khoa học máy tính","CS311A","Hợp ngữ","CS212 (0), CS212A (1), CS212B (2)","","2"
"TI","Khoa học máy tính","CS312","Lập trình hệ thống","CS212 (0), CS212A (1), CS212B (2)","","3"
"TI","Khoa học máy tính","CS312A","Lập trình hệ thống","","","2"
"TI","Khoa học máy tính","CS315","Nguyên lý hệ điều hành","CS212 (0), CS212A (1), CS212B (2)","","3"
"TI","Khoa học máy tính","CS315A","Hệ điều hành Unix","","","3"
"TI","Khoa học máy tính","CS316","Hệ điều hành Unix","CS212 (0), CS212A (2), CS212B (1)","","3"
"TI","Khoa học máy tính","CS322","Chương trình dịch","CF301 (0)","","2"
"TI","Khoa học máy tính","CS324","Kỹ thuật lập trình","CS122 (0)","","2"
"TI","Khoa học máy tính","CS325","Lập trình PHP","IS222 (0), IS222A (1)","","3"
"TI","Khoa học máy tính","CS411","Ứng dụng KT vi xử lý trong đo lường và điều khiển","CS122 (0)","","2"
"TI","Khoa học máy tính","CS425","Một số vấn đề hiện đại trong khoa học máy tính","","90","2"
"TI","Khoa học máy tính","CS428","CĐTN: Công nghệ .Net","CS223 (0), CS223B (1)","117","6"
"TI","Khoa học máy tính","CS429","CĐTN: Công nghệ Java","CS224 (0)","117","6"
"TI","Khoa học máy tính","CS499","KLTN ngành Khoa học máy tính","","127","6"
"TI","Khoa học máy tính","EC101","Kinh tế học đại cương","","","3"
"TI","Khoa học máy tính","EC102","Nhập môn kinh tế học","","","2"
"TI","Khoa học máy tính","ET220","Lý thuyết mạch","MA102 (0), MA101A (1)","","3"
"TI","Khoa học máy tính","FN334","Đầu tư chứng khoán","","48","2"
"TI","Khoa học máy tính","GE100","Tiếng Anh cho người mới bắt đầu","","","2"
"TI","Khoa học máy tính","GE100A","Tiếng Anh cho người mới bắt đầu","","","0"
"TI","Khoa học máy tính","GE101","Tiếng Anh sơ cấp 1","","","2"
"TI","Khoa học máy tính","GE101A","Tiếng Anh sơ cấp 1","","","2"
"TI","Khoa học máy tính","GE102","Tiếng Anh sơ cấp 2","GE101 (0), GE101A (1)","","2"
"TI","Khoa học máy tính","GE102A","Tiếng Anh sơ cấp 2","","","2"
"TI","Khoa học máy tính","GE103","Tiếng Anh sơ cấp 3","GE101 (0), GE102 (0), GE101A (1), GE102 (1), GE101 (2), GE102A (2), GE101A (3), GE102A (3)","","2"
"TI","Khoa học máy tính","GE201","Tiếng Anh sơ trung cấp 1","GE103 (0), GE102 (0), GE102A (1), GE103 (1), GE101A (2), GE102A (2)","","2"
"TI","Khoa học máy tính","GE201A","Tiếng Anh sơ trung cấp 1","","","2"
"TI","Khoa học máy tính","GE202","Tiếng Anh sơ trung cấp 2","GE103 (0), GE103 (1), GE201 (0), GE201A (1), GE201A (2), GE102A (2), GE102A (3), GE201 (3)","","2"
"TI","Khoa học máy tính","GE202A","Tiếng Anh sơ trung cấp 2","","","2"
"TI","Khoa học máy tính","GE203","Kỹ năng giao tiếp tiếng Anh 1","PE304 (0), PE305 (0), PE201 (1), PE302 (1), PE201 (2), PE305 (2), PE304 (3), PE302 (3)","","2"
"TI","Khoa học máy tính","GE203A","Kỹ năng giao tiếp tiếng anh 1","","","2"
"TI","Khoa học máy tính","GE204","Kỹ năng giao tiếp tiếng Anh 2","PE305 (0), GE203 (0), PE305 (1), PE303 (1), PE302 (2), GE203 (2), PE302 (3), PE303 (3)","","2"
"TI","Khoa học máy tính","GE205","Tiếng Anh sơ trung cấp 3","GE201 (0), GE202 (0), GE201 (1), GE202A (1), GE201A (2), GE202 (2), GE201A (3), GE202A (3)","","2"
"TI","Khoa học máy tính","GE301","Tiếng Anh trung cấp 1","GE202 (0), GE205 (0), GE202A (1), GE205 (1), GE202A (2), GE201A (2)","","2"
"TI","Khoa học máy tính","GE303","Tiếng Anh trung cấp 2","GE205 (0), GE301 (0), GE202A (1), GE301 (1), GE202A (2), GE203 (2), GE202A (3), PE303 (3)","","2"
"TI","Khoa học máy tính","GE305","Tiếng Anh trung cấp 3","GE301 (0), GE303 (0), GE203 (1), GE204 (1), PE303 (2), PE404 (2), GE203 (3), GE303 (3), GE203 (4), PE404 (4)","","2"
"TI","Khoa học máy tính","GE320A","TOEIC","","","2"
"TI","Khoa học máy tính","GF101","Tiếng Pháp 1","","","2"
"TI","Khoa học máy tính","GF102","Tiếng Pháp 2","GF101 (0)","","2"
"TI","Khoa học máy tính","GF223","Tiếng Pháp 3","GF102 (0)","","2"
"TI","Khoa học máy tính","GI101","Tiếng Ý 1","","","2"
"TI","Khoa học máy tính","GI102","Tiếng Ý 2","GI101 (0)","","2"
"TI","Khoa học máy tính","GJ101","Tiếng Nhật 1","","","2"
"TI","Khoa học máy tính","GJ102","Tiếng Nhật 2","GJ101 (0)","","2"
"TI","Khoa học máy tính","GK101","Tiếng Hàn 1","","","2"
"TI","Khoa học máy tính","GK102","Tiếng Hàn 2","GK101 (0)","","2"
"TI","Khoa học máy tính","GZ101","Tiếng Trung 1","","","2"
"TI","Khoa học máy tính","GZ102","Tiếng Trung 2","GZ101 (0)","","2"
"TI","Khoa học máy tính","GZ103","Tiếng Trung 3","GZ102 (0)","","2"
"TI","Khoa học máy tính","IM001","Kỹ năng CNTT cơ bản","","","0"
"TI","Khoa học máy tính","IM002","Kỹ năng soạn thảo VB(MS Office)","IM001 (0)","36","3"
"TI","Khoa học máy tính","IM003","Kỹ năng soạn thảo VB(open Office)","IM001 (0)","36","3"
"TI","Khoa học máy tính","IM004","Ứng dụng Excel","IM002 (0)","","3"
"TI","Khoa học máy tính","IM201","Kỹ năng soạn thảo VB (MS office)","IM001 (0)","","3"
"TI","Khoa học máy tính","IM202","Kỹ năng soạn thảo văn bản (Open Office)","IM001 (0)","","3"
"TI","Khoa học máy tính","IM203","Ứng dụng Excel","IS206 (0), IM201 (1)","","3"
"TI","Khoa học máy tính","IM204","Ứng dụng Cal","IM202 (0)","","3"
"TI","Khoa học máy tính","IP401","Thực tập ngành Khoa học máy tính","","107","2"
"TI","Khoa học máy tính","IS009","Máy tính và Internet","","","1"
"TI","Khoa học máy tính","IS101","Tin văn phòng","","","3"
"TI","Khoa học máy tính","IS206","Kĩ năng soạn thảo văn bản","IS009 (0)","72","3"
"TI","Khoa học máy tính","IS207","Ứng dụng Exel","IS206 (0)","","3"
"TI","Khoa học máy tính","IS222","Cơ sở dữ liệu","CS121 (3), CS121A (2), CS121 (0), CS121A (1), MA102 (1), MA102 (0), MA101A (3), MA101A (2), CS121 (4), MA101 (4)","","3"
"TI","Khoa học máy tính","IS222A","Bài tập lớn về CSDL","","","2"
"TI","Khoa học máy tính","IS223A","Cơ sở dữ liệu 2","","","2"
"TI","Khoa học máy tính","IS224A","Cơ sở dữ liệu phân tán","","","2"
"TI","Khoa học máy tính","IS301","Tin học văn phòng nâng cao","CS100 (0)","100","3"
"TI","Khoa học máy tính","IS314","Hệ thống thông tin","IS222 (0)","","3"
"TI","Khoa học máy tính","IS316","Hạ tầng công nghệ thông tin","","70","2"
"TI","Khoa học máy tính","IS317","Hạ tầng công nghệ thông tin","","","2"
"TI","Khoa học máy tính","IS322","Hệ quản trị cơ sở dữ liệu","IS222 (0)","","3"
"TI","Khoa học máy tính","IS322A","Hệ quản trị cơ sở dữ liệu 1","","","2"
"TI","Khoa học máy tính","IS322B","Hệ quản trị cơ sở dữ liệu 2","","","2"
"TI","Khoa học máy tính","IS322C","Hệ quản trị cơ sở dữ liệu 3","","","2"
"TI","Khoa học máy tính","IS322D","Hệ quản trị cơ sở dữ liệu 4","","","2"
"TI","Khoa học máy tính","IS322E","Hệ quản trị cơ sở dữ liệu","","","4"
"TI","Khoa học máy tính","IS325","Cơ sở dữ liệu phân tán","IS222 (0), NW212 (0)","","2"
"TI","Khoa học máy tính","IS329","Dữ liệu lớn","","","2"
"TI","Khoa học máy tính","IS332","Phân tích thiết kế hướng đối tượng","IS222 (1), CS122 (0), IS222 (0), CS122A (1)","","3"
"TI","Khoa học máy tính","IS333","Phân tích thiết kế hệ thống thông tin","IS222 (0)","","2"
"TI","Khoa học máy tính","IS345","An toàn thông tin","CF231 (0)","","3"
"TI","Khoa học máy tính","IS346","Pháp luật và chính sách an toàn thông tin","IS345 (0)","","2"
"TI","Khoa học máy tính","IS381","Hệ thống thông tin quản lý","","90","3"
"TI","Khoa học máy tính","IS383","Hệ thống thông tin nâng cao","IS314 (0)","","2"
"TI","Khoa học máy tính","IS385","Cơ sở dữ liệu phân tán","IS222 (0), NW212 (0)","","2"
"TI","Khoa học máy tính","IS424","Lập trình cơ sở dữ liệu","IS332 (0), IS222 (3), IS322 (1)","","3"
"TI","Khoa học máy tính","IS424A","Lập trình cơ sở dữ liệu 1","","","4"
"TI","Khoa học máy tính","IS424B","Lập trình cơ sở dữ liệu 2","","","4"
"TI","Khoa học máy tính","IS424C","CĐTN: Phát triển ứng dụng trên Oracle","","","2"
"TI","Khoa học máy tính","IS430","Công nghệ Blockchain","","100","3"
"TI","Khoa học máy tính","IS480","Kiến trúc doanh nghiệp","","100","3"
"TI","Khoa học máy tính","IS484","CĐTN: Cơ sở dữ liệu","IS222 (0)","117","6"
"TI","Khoa học máy tính","IS487","CĐTN: Hệ thống thông tin quản lý","IS381 (0)","110","6"
"TI","Khoa học máy tính","IS489","CĐTN: Hệ thống thông tin ngân hàng","IS332 (0), IS381 (1)","110","6"
"TI","Khoa học máy tính","MA100A","Toán 1","","","2"
"TI","Khoa học máy tính","MA101","Logic, suy luận toán học và kỹ thuật đếm (Tiếng Anh)","GE103 (0)","","3"
"TI","Khoa học máy tính","MA101A","Logic, suy luận toán học và kỹ thuật đếm","","","3"
"TI","Khoa học máy tính","MA102","Toán cơ sở","","","3"
"TI","Khoa học máy tính","MA103","Số và cấu trúc đại số","","","3"
"TI","Khoa học máy tính","MA104","Số và cấu trúc đại số","","","3"
"TI","Khoa học máy tính","MA110","Giải tích 1","","","3"
"TI","Khoa học máy tính","MA110A","Giải tích 1A","","","2"
"TI","Khoa học máy tính","MA111","Giải tích 2","MA110 (0), MA110A (1)","","3"
"TI","Khoa học máy tính","MA111A","Giải tích 2A","","","2"
"TI","Khoa học máy tính","MA111B","Giải tích 2B","","","2"
"TI","Khoa học máy tính","MA120","Đại số tuyến tính","","","3"
"TI","Khoa học máy tính","MA120A","Đại số tuyến tính 1","","","2"
"TI","Khoa học máy tính","MA120B","Đại số tuyến tính 2","","","2"
"TI","Khoa học máy tính","MA212","Phương trình vi phân","MA111 (0), MA111A (1), MA111B (2)","","2"
"TI","Khoa học máy tính","MA222","Đại số đại cương","MA120 (0), MA120A (1), MA120B (2)","","2"
"TI","Khoa học máy tính","MA230","Xác suất","MA111 (0), MA111A (1), MA111B (2)","","3"
"TI","Khoa học máy tính","MA231","Xác suất thống kê ứng dụng","MA120 (0), MA120A (1), CS100 (1), CS100 (2), MA120A (3), MA120B (2), CS100A (3), CS100 (0), MA120 (4), CS100A (4)","","4"
"TI","Khoa học máy tính","MA313","Hàm biến phức","MA111 (0), MA111B (1)","","2"
"TI","Khoa học máy tính","MI201","Toán rời rạc","CS122 (0)","","3"
"TI","Khoa học máy tính","MI311","Mã hóa và an toàn dữ liệu","MI201 (0)","","2"
"TI","Khoa học máy tính","MI311A","Lý thuyết thông tin và mã hoá","","","2"
"TI","Khoa học máy tính","MI312","Đồ họa","CS122 (0), MA120 (0), MA120 (1), CS122A (1), MA120A (2), CS122 (2)","","2"
"TI","Khoa học máy tính","MI321","Trí tuệ nhân tạo","CF212 (0), CF212A (1), CF212B (2), MI201 (0), MI201 (1), MI201 (2)","","3"
"TI","Khoa học máy tính","MI321A","Trí tuệ nhân tạo","","","2"
"TI","Khoa học máy tính","MI322","Trí tuệ nhân tạo và công nghệ tri thức","","","3"
"TI","Khoa học máy tính","MI414","Giao diện người máy","MI312 (0)","","2"
"TI","Khoa học máy tính","ML101","Những NLCB của chủ nghĩa Mác - Lênin","","","5"
"TI","Khoa học máy tính","ML111","Triết học Mác – Lênin","","","2"
"TI","Khoa học máy tính","ML112","Kinh tế chính trị và CNXH khoa học","","","3"
"TI","Khoa học máy tính","ML112A","Kinh tế chính trị","","","3"
"TI","Khoa học máy tính","ML112B","Chủ nghĩa xã hội khoa học","","","2"
"TI","Khoa học máy tính","ML202","Tư tưởng Hồ Chí Minh","ML111 (0), ML101 (1), ML112A (2), ML112B (3)","","2"
"TI","Khoa học máy tính","ML203","Đường lối cách mạng của Đảng CS Việt Nam","ML202 (0)","","3"
"TI","Khoa học máy tính","NA151","Khoa học môi trường","","","2"
"TI","Khoa học máy tính","NW212","Mạng máy tính","CS212 (0), CS212A (1), CS212B (2)","","2"
"TI","Khoa học máy tính","NW212A","Internet","","","2"
"TI","Khoa học máy tính","NW312","Thiết kế và quản trị mạng","NW212 (0), NW212A (1)","","3"
"TI","Khoa học máy tính","NW312A","Thiết kế quản trị mạng","","","4"
"TI","Khoa học máy tính","NW322","Lập trình mạng","NW312 (0), NW312A (1)","","2"
"TI","Khoa học máy tính","NW322A","Lập trình mạng","","","4"
"TI","Khoa học máy tính","NW332","An toàn mạng","NW312 (0), NW312A (1)","","3"
"TI","Khoa học máy tính","NW332A","An toàn mạng","","","4"
"TI","Khoa học máy tính","NW439","CĐTN: An toàn mạng","NW312 (0)","117","6"
"TI","Khoa học máy tính","NW439A","CĐTN: Quản trị mạng","","","2"
"TI","Khoa học máy tính","NW439B","CĐTN: Lập trình mạng","","","2"
"TI","Khoa học máy tính","PE201","Tiếng Anh trong tin học 1A","GE202 (0), GE201 (0)","","2"
"TI","Khoa học máy tính","PE302","Tiếng Anh trong tin học 1B","GE202 (0), PE201 (0)","","2"
"TI","Khoa học máy tính","PE303","Tiếng Anh trong tin học 2A","PE201 (0), PE302 (0)","","2"
"TI","Khoa học máy tính","PE304","Tiếng Anh trong tin học 1","GE201 (3), GE202 (3), GE201 (1), GE202A (1), GE201A (2), GE202A (2)","","2"
"TI","Khoa học máy tính","PE305","Tiếng Anh trong tin học 2","PE304 (0), GE202 (1), PE201 (1), GE202 (0), GE202A (2), PE304 (2), GE202A (3), PE201 (3)","","2"
"TI","Khoa học máy tính","PE404","Tiếng Anh trong tin học 2B","PE302 (0), PE303 (0)","","2"
"TI","Khoa học máy tính","PG100","Giáo dục thể chất","","","4"
"TI","Khoa học máy tính","PG100A","Giáo dục thể chất","","","4"
"TI","Khoa học máy tính","PG101","GDTC: Lý thuyết","","","1"
"TI","Khoa học máy tính","PG102","GDTC: Thể dục cổ truyền cơ bản","","","1"
"TI","Khoa học máy tính","PG103","GDTC: Thể dục cổ truyền nâng cao","PG102 (0)","","1"
"TI","Khoa học máy tính","PG104","GDTC: Cầu lông cơ bản","","","1"
"TI","Khoa học máy tính","PG105","GDTC: Cầu lông nâng cao","PG104 (0)","","1"
"TI","Khoa học máy tính","PG106","GDTC: Bóng bàn cơ bản","","","1"
"TI","Khoa học máy tính","PG107","GDTC: Bóng bàn nâng cao","PG106 (0)","","1"
"TI","Khoa học máy tính","PG108","GDTC: Thể dục nhịp điệu cơ bản","","","1"
"TI","Khoa học máy tính","PG109","GDTC: Thể dục nhịp điệu nâng cao","PG108 (0)","","1"
"TI","Khoa học máy tính","PG110","GDTC: Bơi cơ bản","","","1"
"TI","Khoa học máy tính","PG111","GDTC: Khiêu vũ thể thao cơ bản","","","1"
"TI","Khoa học máy tính","PG112","GDTC: Khiêu vũ thể thao nâng cao","PG111 (0)","","1"
"TI","Khoa học máy tính","PG113","GDTC: Bóng rổ cơ bản","","","1"
"TI","Khoa học máy tính","PG114","GDTC: Bóng rổ nâng cao","PG113 (0)","","1"
"TI","Khoa học máy tính","PG115","GDTC: Bóng chuyền cơ bản","","","1"
"TI","Khoa học máy tính","PG116","GDTC: Bóng chuyền nâng cao","PG115 (0)","","1"
"TI","Khoa học máy tính","PG117","GDTC: Thể dục dã ngoại","","","1"
"TI","Khoa học máy tính","PG118","GDTC: Thể dục cơ bản","","","1"
"TI","Khoa học máy tính","PG119","GDTC: Thể dục Erobic","","","1"
"TI","Khoa học máy tính","PG120","Thể dục cơ bản nâng cao","PG118 (0)","","1"
"TI","Khoa học máy tính","PG121","Giáo dục quốc phòng","","","4"
"TI","Khoa học máy tính","PG121D","Đường lối quân sự của Đảng","","","2"
"TI","Khoa học máy tính","PG121E","Công tác quốc phòng - an ninh","","","2"
"TI","Khoa học máy tính","PG122","GDQP: Đường lối quân sự của Đảng","","","1"
"TI","Khoa học máy tính","PG123","GDQP: Công tác quốc phòng - an ninh","","","1"
"TI","Khoa học máy tính","PG124","GDQP: Quân sự chung","","","1"
"TI","Khoa học máy tính","PG125","GDQP: Kỹ thuật bắn súng","","","1"
"TI","Khoa học máy tính","PG131","GDTC: Bóng rổ nâng cao 1","","","1"
"TI","Khoa học máy tính","PG132","GDTC: Bóng rổ nâng cao 2","","","1"
"TI","Khoa học máy tính","PG133","GDTC: Bóng rổ nâng cao 3","","","1"
"TI","Khoa học máy tính","PG134","GDTC: Bóng rổ nâng cao 4","","","1"
"TI","Khoa học máy tính","PG141","GDTC: Bóng chuyền nâng cao 1","","","1"
"TI","Khoa học máy tính","PG142","GDTC: Bóng chuyền nâng cao 2","","","1"
"TI","Khoa học máy tính","PG143","GDTC: Bóng chuyền nâng cao 3","","","1"
"TI","Khoa học máy tính","PG144","GDTC: Bóng chuyền nâng cao 4","","","1"
"TI","Khoa học máy tính","PG150","Bóng đá","","","4"
"TI","Khoa học máy tính","PG151","Bóng đá nâng cao","","","4"
"TI","Khoa học máy tính","PG160","Nhảy hiện đại","","","4"
"TI","Khoa học máy tính","PG161","Nhảy hiện đại nâng cao","","","4"
"TI","Khoa học máy tính","PHTQT","Lớp quốc tế","","500","1"
"TI","Khoa học máy tính","PV101","Tiếng Việt thực hành","","","2"
"TI","Khoa học máy tính","SE302","Công nghệ phần mềm","IS332 (0)","","2"
"TI","Khoa học máy tính","SE312","Kiểm thử và đảm bảo chất lượng phần mềm","SE302 (0)","","3"
"TI","Khoa học máy tính","SE380","Project","SE302 (0)","","3"
"TI","Khoa học máy tính","SE422","Quản lý dự án phần mềm","SE302 (0)","","3"
"TI","Khoa học máy tính","SE487","CĐTN: Phát triển phần mềm","SE302 (0)","117","6"
"TI","Khoa học máy tính","SH131","Pháp luật đại cương","","","2"
"TI","Khoa học máy tính","SM201","Phương pháp luận nghiên cứu khoa học","","36","3"
"TI","Khoa học máy tính","ST450","Toeic","","","3"
"TI","Khoa học máy tính","VL101","Tiếng Việt thực hành","","","2"
"TI","Khoa học máy tính","VR201","Ẩm thực Việt Nam","","","3"
"TI","Khoa học máy tính","VR203","Ẩm thực Việt Nam","","","4"
"TI","Khoa học máy tính","VR203A","Ẩm thực Việt Nam","","","3"
"TE","Hệ thống thông tin","AC201","Nguyên lý kế toán","","40","3"
"TE","Hệ thống thông tin","AC210","Kế toán doanh nghiệp","AC201 (0)","","3"
"TE","Hệ thống thông tin","AC321","Kế toán ngân hàng 1","AC210 (0), BK201 (0)","","2"
"TE","Hệ thống thông tin","AC341","Kế toán quản trị","AC210 (0)","","3"
"TE","Hệ thống thông tin","AC422","Kế toán ngân hàng 2","AC321 (0)","","3"
"TE","Hệ thống thông tin","AD201","Kỹ năng giao tiếp và thuyết trình","","36","2"
"TE","Hệ thống thông tin","AD204","Ẩm thực Việt nam","","","4"
"TE","Hệ thống thông tin","AD204A","Ẩm thực Việt Nam","","","3"
"TE","Hệ thống thông tin","AD206","Ẩm thực Việt Nam","","","3"
"TE","Hệ thống thông tin","AD211","Văn hóa Hà Nội","","36","2"
"TE","Hệ thống thông tin","AD212","Phương pháp hùng biện và các thủ thuật tranh biện","","36","3"
"TE","Hệ thống thông tin","AD213","Hát – Nhạc","","","3"
"TE","Hệ thống thông tin","AD213A","Hát – Nhạc","","","4"
"TE","Hệ thống thông tin","AD214","Nâng cao chất lượng giọng hát","AD213 (0), AD213A (1)","","3"
"TE","Hệ thống thông tin","AD215","Ứng dụng PowerPoint","IS206 (1), IM201 (0), IM202 (2)","","3"
"TE","Hệ thống thông tin","AD216","Tâm lý và kỹ năng giao tiếp với người cao tuổi","","50","3"
"TE","Hệ thống thông tin","AD221","Kĩ năng giao lưu văn hóa","","","2"
"TE","Hệ thống thông tin","AD222","Thực hành giao lưu văn hoá","","","3"
"TE","Hệ thống thông tin","AD231","Thể thao","","","3"
"TE","Hệ thống thông tin","AD250","Dinh dưỡng và tiết chế","","","3"
"TE","Hệ thống thông tin","AD312","Bóng đá","","","4"
"TE","Hệ thống thông tin","AD313","Bóng đá nâng cao","AD312 (0)","","4"
"TE","Hệ thống thông tin","AD314","Nhảy hiện đại","","","4"
"TE","Hệ thống thông tin","AD315","Nhảy hiện đại nâng cao","AD314 (0)","","4"
"TE","Hệ thống thông tin","AD414","Toeic","GE305 (0)","","2"
"TE","Hệ thống thông tin","AD420","Khởi nghiệp","","100","3"
"TE","Hệ thống thông tin","BA101","Quản trị học","","","2"
"TE","Hệ thống thông tin","BA102","Quản trị học đại cương","EC101 (1)","","3"
"TE","Hệ thống thông tin","BA211A","Quản lý sản xuất và tác nghiệp","","","2"
"TE","Hệ thống thông tin","BA221","Phân tích và lập dự án đầu tư","FN211 (0), FN211D (1)","","2"
"TE","Hệ thống thông tin","BA222","Phân tích và lập dự án","FN211 (0), FN211D (1)","","3"
"TE","Hệ thống thông tin","BA313","Quản trị chiến lược","BA101 (0), BA102 (1)","","3"
"TE","Hệ thống thông tin","BA314","Quản trị nguồn nhân lực","BA101 (1)","","3"
"TE","Hệ thống thông tin","BA314A","Quản trị nguồn nhân lực","","","2"
"TE","Hệ thống thông tin","BA315","Văn hóa doanh nghiệp và đạo đức kinh doanh","","50","3"
"TE","Hệ thống thông tin","BA317","Quản trị nguồn nhân lực","BA101 (0), BA102 (1)","","3"
"TE","Hệ thống thông tin","BA325","Nghiệp vụ xuất nhập khẩu","BK321A (0), FN201 (1), BK321 (2), FN202 (3)","","2"
"TE","Hệ thống thông tin","BK201","Ngân hàng thương mại 1","FN211 (1), FN211D (0), FN201A (2)","","3"
"TE","Hệ thống thông tin","BK302","Ngân hàng thương mại 2","BK201 (0)","","3"
